"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J6Q5MSFW","report","2025","Uwamariya, Olive","German-African Feminist Development Policy: What’s Next?","","","","","https://afripoli.org/german-african-feminist-development-policy-whats-next","The BMZ's Feminist Development Policy aimed to dismantle discriminatory structures, with a focus on rights, resources, and representation to empower African women and girls. Has it succeeded so far? Summary BMZ’s Feminist Development Policy represents a progressive framework that provides both new and established methods for addressing gender inequality and discrimination, grounded in feminist principles, namely a human-rights based approach, gender transformation, intersectionality, and the importance of strong international alliances, within an anti-colonial and anti-racist context. The African socio-political landscape in which the policy is implemented is dynamic, and the nature of German-African relations has evolved to respond to new geopolitical trends. Since the adoption of the policy, notable progress has been achieved at the institutional, portfolio and multilateral levels, as evidenced by gender-transformative projects initiated by BMZ partners across Africa. A feminist analysis of the policy reveals challenges in its design and implementation, including the influence of prevailing hegemonic Western ideologies in foreign diplomacy that reinforce systems of inequality. The analysis also offers opportunities based on feminist principles of human dignity and security. The successful realisation of the policy agenda hinges on the German government’s commitment to actionable change, including a critical examination of global systems that perpetuate inequalities and substantial investment in gender equality.","2025-05-21","2026-03-06 10:02:30","2026-07-22 12:42:28","2026-03-06 10:02:30","","","","","","","German-African Feminist Development Policy","","","","","APRI","","en","","Short Analysis","","","","","","","/Users/aprilt24/Zotero/storage/R9VITAYZ/german-african-feminist-development-policy-whats-next.html","","Feminism; Short Analysis; Feminist Development Policy; Human Rights","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EPLXA2D","report","2026","Simons, Bright","Germany can’t upskill Ghana into a 24-hour economy, but there is a smarter path (aligning development cooperation with vanguardist industrialisation)","","","","","https://afripoli.org/germany-cant-upskill-ghana-into-a-24-hour-economy-but-there-is-a-smarter-path","","2026-02","2025-11-19 16:24:44","2026-07-22 10:04:43","","","","","","","","","","","","","APRI – Africa Policy Research Institute","","","","Policy Brief","","","","","","","/Users/aprilt24/Zotero/storage/EJR928JK/germany-cant-upskill-ghana-into-a-24-hour-economy-but-there-is-a-smarter-path.html","","Development Cooperation; Economy & Society; Ghana; Policy Brief","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E8Z5DAPM","report","","Tayo, Teniola T.","Trade infrastructure financing in Africa: an exploration of geopolitical funds for private sector participation","","","","","https://afripoli.org/trade-infrastructure-financing-in-africa-an-exploration-of-geopolitical-funds-for-private-sector-participation","","","2024-11-18 14:12:21","2026-07-26 21:13:30","2026-07-25 18:21:08","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/IXHQ7QGS/Tayo - 2024 - Trade infrastructure financing in Africa an exploration of geopolitical funds for private sector pa.pdf; /Users/aprilt24/Zotero/storage/JWDU2G7E/trade-infrastructure-financing-in-africa-an-exploration-of-geopolitical-funds-for-private-secto.html","","Geopolitics; Finance; Infrastructure; Private Sector; Trade","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3YAF7L9M","report","2021","Maunganidze, Ottilia Anna","Towards a Policy fit for Purpose Between Africa and Europe: Migration","","","","","https://afripoli.org/towards-a-policy-fit-for-purpose-between-africa-and-europe-migration","","2021-11","2026-07-25 19:10:24","2026-07-26 21:06:56","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/ERUSDTT2/towards-a-policy-fit-for-purpose-between-africa-and-europe-migration.html","","European Union; Border Policy; Diplomacy; Migration; Mobility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFYJLDRD","report","2021","Nyantakyi, Eugene Bempong; Amoussou, Omolola; Mabuza, Patrick","The Dynamics of the Trade Finance Gap in Africa","","","","","https://afripoli.org/the-dynamics-of-the-trade-finance-gap-in-africa","","2021-06","2026-07-25 19:10:24","2026-07-26 21:06:47","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/A3RGWAMI/the-dynamics-of-the-trade-finance-gap-in-africa.html","","Economic Growth; Access to Credit; Banking; SMEs; Trade Finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDRM8W3V","report","2021","Soulé, Folashadé","Zero-Sum? Benefitting from Great Power Rivalry in Africa","","","","","https://afripoli.org/zero-sum-benefitting-from-great-power-rivalry-in-africa","","2021-10","2026-07-25 19:10:24","2026-07-26 21:06:13","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/N46GS2WX/zero-sum-benefitting-from-great-power-rivalry-in-africa.html","","China; United States; Geopolitics; Diplomacy; Strategic Agency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3X5GUPT","report","2021","Sekgololo, Johannes; Gondwe, Nomzamo; Ndzendze, Bhaso","South Africa’s Risky Commercial Climate: Fourth Industrial Revolution Technologies and the Reduction of a Currency Dependence","","","","","https://afripoli.org/south-africas-risky-commercial-climate-fourth-industrial-revolution-technologies-and-the-reduction-of-a-currency-dependence","","2021-10","2026-07-25 19:10:24","2026-07-26 21:00:52","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/JL4SSJ7L/south-africas-risky-commercial-climate-fourth-industrial-revolution-technologies-and-the-reduct.html","","South Africa; 4IR; Currency Stability; Economic Stability; Technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKFKVCVI","report","2021","Herzberger-Fofana, Pierrette","Sahel and The Role of the EU: Security Is Not Everything","","","","","https://afripoli.org/sahel-and-the-role-of-the-eu-security-is-not-everything","","2021-05","2026-07-25 19:10:24","2026-07-26 21:00:47","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/JJGXDML9/sahel-and-the-role-of-the-eu-security-is-not-everything.html","","Development; European Union; West Africa; Sahel; Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MRQ2VC3M","report","2022","Adeoye, Aanu","Russia's play for influence in Africa could be curtailed by its lack of financial muscle","","","","","https://afripoli.org/russias-play-for-influence-in-africa-could-be-curtailed-by-its-lack-of-financial-muscle","","2022-06","2026-07-25 19:10:23","2026-07-26 20:58:11","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/IKC38XAM/russias-play-for-influence-in-africa-could-be-curtailed-by-its-lack-of-financial-muscle.html","","Geopolitics; Security; Foreign Investment; Russia; Soft Power","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H8MMRVWT","report","2022","Obisie-Orlu, Vincent","Exploring key implications of the Russia-Ukraine War on Africa’s energy policy","","","","","https://afripoli.org/exploring-key-implications-of-the-russia-ukraine-war-on-africas-energy-policy","","2022-06","2026-07-25 19:10:23","2026-07-26 20:53:21","","","","","","","","","","","","","","","","","","","","","","","","/Users/aprilt24/Zotero/storage/PAAGYC8B/exploring-key-implications-of-the-russia-ukraine-war-on-africas-energy-policy.html","","Renewable Energy; Economic Impact; Energy Policy; Oil and Gas; Ukraine War","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
